Vendor Name,Retailer Name,Retailer VendorID,Vendor Store Number,Retailer Store Number,Fintech Process Date,Invoice Date,Invoice DueDate,Invoice Number,Invoice Amount,Invoice Item Count,PO Number,PO Date,Reference Invoice Number,Product Number,Quantity,Invoice Line Item Cost,Unit Of Measure,Product Volume,Case UPC,Product Description,Discount Adjustment Total,DepositAdjustmentTotal,Miscellaneous Adjustment Total,Tax Adjustment Total,Delivery Adjustment Total,Extended Price,Packs Per Case,Clean UPC,Pack UPC,Product Class,GL Code,Expanded StoreID,Units Per Pack
"Hop & Wine Beverage, LLC","Root Retail LLC",,"4277","000001","09/24/2025","09/23/2025","09/24/2025","2115343","250.84","6",,,,"27267","2","41.56","CA",,"851695008013","Solace Suns Out Hops Out 24x12oz 6PACK CAN","-6.4","0","0","0","0","76.72","4",,"851695008013","Beer","Beer",,"0"
"Hop & Wine Beverage, LLC","Root Retail LLC",,"4277","000001","09/24/2025","09/23/2025","09/24/2025","2115343","250.84","6",,,,"29333","1","35.16","CA","12 oz","00704361011117","Great Lakes Dortmunder Gold Lager 4/6 12 oz Can ","-0.8","0","0","0","0","34.36","4","00704361881246","704361881246","Beer","Beer",,"6"
"Hop & Wine Beverage, LLC","Root Retail LLC",,"4277","000001","09/24/2025","09/23/2025","09/24/2025","2115343","250.84","6",,,,"33199","1","35.16","CA","12 oz","00704361151110","Great Lakes IPA 4/6 12 oz Bottle ","0","0","0","0","0","35.16","4","00704361150243","704361150243","Beer","Beer",,"6"
"Hop & Wine Beverage, LLC","Root Retail LLC",,"4277","000001","09/24/2025","09/23/2025","09/24/2025","2115343","250.84","6",,,,"29110","1","38.96","CA",,"860367000729","Sloop Juice Bomb IPA 24x12oz 6PACK CAN","-1.5","0","0","0","0","37.46","4",,"860367000729","Beer","Beer",,"0"
"Hop & Wine Beverage, LLC","Root Retail LLC",,"4277","000001","09/24/2025","09/23/2025","09/24/2025","2115343","250.84","6",,,,"33152","1","30.38","CA",,"850055735019","Aslin Old Town Lager T0 24x12oz 12PACK CAN","-1.6","0","0","0","0","28.78","2",,"850055735019","Beer","Beer",,"0"
"Hop & Wine Beverage, LLC","Root Retail LLC",,"4277","000001","09/24/2025","09/23/2025","09/24/2025","2115343","250.84","6",,,,"33885","1","38.36","CA",,"850055735217","Aslin Orange Starfish IPA T2 24x12oz 6PACK CAN","0","0","0","0","0","38.36","4",,"850055735217","Beer","Beer",,"0"
"Hop & Wine Beverage, LLC","Root Retail LLC",,"4277","000001","09/24/2025","09/23/2025","09/24/2025","2115345","216.0","1",,,,"13510","3","84.0","CA",,"6009880821204","Rouxvale Cabernet Sauvignon 2023 12x750ml LOOSE","-36","0","0","0","0","216.0","12",,"6009880821204","Wine","Wine",,"0"
"Reliable Churchill DBA Breakthru Beverage DC","Root Retail LLC",,"0700397807","000001","09/24/2025","09/24/2025","09/24/2025","0123474097","1020.99","5",,,"0123474097","22145","1","244.72","CA","750 ml","082184090466","Jack Daniels Black Gift Pack With Glass 1/12 750 ml Bottle 80PF","0","0","0","0","0","244.72","1","00082184090466","082184090466","Spirits","Spirit",,"12"
"Reliable Churchill DBA Breakthru Beverage DC","Root Retail LLC",,"0700397807","000001","09/24/2025","09/24/2025","09/24/2025","0123474097","1020.99","5",,,"0123474097","9008504","1","212.93","CA","750 ml","619947000020","Titos Handmade Vodka 1/12 750 ml Bottle 80PF","0","0","0","0","0","212.93","1","00619947000020","619947000020","Spirits","Spirit",,"12"
"Reliable Churchill DBA Breakthru Beverage DC","Root Retail LLC",,"0700397807","000001","09/24/2025","09/24/2025","09/24/2025","0123474097","1020.99","5",,,"0123474097","9000623","1","258.41","CA","750 ml","88110110307","Tanqueray Gin 1/12 750 ml Bottle 94PF","0","0","0","0","0","258.41","1","00088110110307","088110110307","Spirits","Spirit",,"12"
"Reliable Churchill DBA Breakthru Beverage DC","Root Retail LLC",,"0700397807","000001","09/24/2025","09/24/2025","09/24/2025","0123474097","1020.99","5",,,"0123474097","9004843","1","299.93","CA","750 ml","085156515417","Ketel One Vodka 1/12 750 ml Bottle 80PF","0","0","0","0","0","299.93","1","00085156515417","085156515417","Spirits","Spirit",,"12"
"Reliable Churchill DBA Breakthru Beverage DC","Root Retail LLC",,"0700397807","000001","09/24/2025","09/24/2025","09/24/2025","0123474097","1020.99","5",,,"0123474097","9031151","1","5.0","EA",,"11111222219","Freight Charge 1/1  oz Each ","0","0","0","0","0","5.0","1","11111222219","11111222219","Miscellaneous","NonAlcohol",,"1"
